Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Postal Code
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,12180
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,90004
US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,60610
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,85234
CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,22153
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,10009
CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,49201
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,38109
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,77041
US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,77070
CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,35601
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,94122
CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,27707
US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,60623
CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,29203
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,55901
CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,77095
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,90036
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,55407
US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,97206
CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,10009
CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,94122
CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,55106
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,60610
CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,55901
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,80013
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,28205
CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,60462
CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,10035
CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,50322
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,43229
CA-2015-110457,3/2/2015,3/6/2015,Standard Class,DK-13090,98103
US-2015-136476,4/5/2015,4/10/2015,Standard Class,GG-14650,37620
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,19805
US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,77041
US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,61701
US-2017-107272,11/5/2017,11/12/2017,Standard Class,TS-21610,85023
US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975,90004
US-2017-164147,2/2/2017,2/5/2017,First Class,DW-13585,43229
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,95661
CA-2016-110366,9/5/2016,9/7/2016,Second Class,JD-15895,19140
CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,94122
CA-2017-155376,12/22/2017,12/27/2017,Standard Class,SG-20080,64055
CA-2015-110744,9/7/2015,9/12/2015,Standard Class,HA-14920,91104
CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,43055
CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,53132
CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,85254
CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,95123
CA-2015-118948,5/28/2015,6/3/2015,Standard Class,NK-18490,98105
CA-2014-104269,3/1/2014,3/6/2014,Second Class,DB-13060,98115
CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,73034
CA-2016-162733,5/11/2016,5/12/2016,First Class,TT-21070,90045
CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960,19134
CA-2016-154508,11/16/2016,11/20/2016,Standard Class,RD-19900,88220
CA-2016-113817,11/7/2016,11/11/2016,Standard Class,MJ-17740,98115
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,78207
CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,90004
US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,60623
US-2017-152366,4/21/2017,4/25/2017,Second Class,SJ-20500,77036
US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,43055
CA-2015-137225,12/15/2015,12/19/2015,Standard Class,JK-15640,10009
CA-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,62521
CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,71203
CA-2016-105018,11/28/2016,12/2/2016,Standard Class,SK-19990,6824
CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290,90032
CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360,75051
CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,10035
CA-2015-131457,10/31/2015,11/6/2015,Standard Class,MZ-17515,92374
CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,45011
CA-2017-107720,11/6/2017,11/13/2017,Standard Class,VM-21685,7090
US-2017-124303,7/6/2017,7/13/2017,Standard Class,FH-14365,19120
CA-2017-105074,6/24/2017,6/29/2017,Standard Class,MB-17305,44312
CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,80219
US-2017-116701,12/17/2017,12/21/2017,Second Class,LC-17140,75220
CA-2017-126382,6/3/2017,6/7/2017,Standard Class,HK-14890,37064
CA-2017-108329,12/9/2017,12/14/2017,Standard Class,LE-16810,90604
CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,48601
CA-2015-101007,2/9/2015,2/13/2015,Second Class,MS-17980,75220
CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,44256
CA-2016-130162,10/28/2016,11/1/2016,Standard Class,JH-15910,90032
CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,43017
CA-2015-163055,8/9/2015,8/16/2015,Standard Class,DS-13180,48227
US-2015-145436,2/28/2015,3/4/2015,Standard Class,VD-21670,38401
US-2014-156216,9/13/2014,9/17/2014,Standard Class,EA-14035,28205
US-2017-100930,4/7/2017,4/12/2017,Standard Class,CS-12400,33614
CA-2017-160514,11/12/2017,11/16/2017,Standard Class,DB-13120,95051
CA-2016-157749,6/4/2016,6/9/2016,Second Class,KL-16645,60610
CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,55044
CA-2016-154739,12/10/2016,12/15/2016,Second Class,LH-17155,94109
CA-2016-145625,9/11/2016,9/17/2016,Standard Class,KC-16540,92037
CA-2016-146941,12/10/2016,12/13/2016,First Class,DL-13315,10024
US-2015-159982,11/28/2015,12/4/2015,Standard Class,DR-12880,60623
CA-2017-163139,12/1/2017,12/3/2017,Second Class,CC-12670,10009
US-2017-155299,6/8/2017,6/12/2017,Standard Class,Dl-13600,77506
US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,77036
CA-2016-125318,6/6/2016,6/13/2016,Standard Class,RC-19825,60610
CA-2015-155040,11/10/2015,11/15/2015,Standard Class,AH-10210,94513
CA-2017-136826,6/16/2017,6/20/2017,Standard Class,CB-12535,27514
CA-2016-111010,1/22/2016,1/28/2016,Standard Class,PG-18895,7960
US-2017-145366,12/9/2017,12/13/2017,Standard Class,CA-12310,45231
CA-2017-163979,12/28/2017,1/2/2018,Second Class,KH-16690,94110
CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920,94109
CA-2017-118136,9/16/2017,9/17/2017,First Class,BB-10990,90301
CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495,19140
US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725,77070
CA-2015-130890,11/2/2015,11/6/2015,Standard Class,JO-15280,90004
CA-2015-130883,9/26/2015,10/2/2015,Standard Class,TB-21520,97206
CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195,33319
CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565,43229
CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,80906
CA-2016-142545,10/28/2016,11/3/2016,Standard Class,JD-15895,7109
US-2017-152380,11/19/2017,11/23/2017,Standard Class,JH-15910,60623
CA-2015-144253,5/4/2015,5/9/2015,Second Class,AS-10225,10024
CA-2014-130960,12/30/2014,1/4/2015,Standard Class,KB-16600,48180
CA-2014-111003,6/1/2014,6/6/2014,Standard Class,CR-12625,8701
CA-2017-126774,4/15/2017,4/17/2017,First Class,SH-20395,22204
CA-2016-142902,9/12/2016,9/14/2016,Second Class,BP-11185,80004
CA-2014-120887,9/27/2014,10/3/2014,Standard Class,TS-21205,7601
CA-2014-167850,8/9/2014,8/16/2014,Standard Class,AG-10525,33710
CA-2014-164259,12/28/2014,12/30/2014,First Class,SP-20860,19143
CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,10024
CA-2014-156601,9/19/2014,9/24/2014,Standard Class,FA-14230,90805
CA-2016-162138,4/23/2016,4/27/2016,Standard Class,GK-14620,92345
CA-2017-153339,11/3/2017,11/5/2017,Second Class,DJ-13510,37130
US-2016-141544,8/30/2016,9/1/2016,First Class,PO-18850,19143
US-2016-150147,4/25/2016,4/29/2016,Second Class,JL-15850,19134
CA-2015-137946,9/1/2015,9/4/2015,Second Class,DB-13615,90045
CA-2014-129924,7/12/2014,7/17/2014,Standard Class,AC-10420,94122
CA-2015-128167,6/22/2015,6/26/2015,Second Class,KL-16645,84041
CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,19140
US-2015-120712,12/20/2015,12/24/2015,Standard Class,CS-12130,78745
CA-2017-169901,6/15/2017,6/19/2017,Standard Class,CC-12550,94122
CA-2017-134306,7/8/2017,7/12/2017,Standard Class,TD-20995,1852
CA-2016-129714,9/1/2016,9/3/2016,First Class,AB-10060,10009
CA-2016-138520,4/8/2016,4/13/2016,Standard Class,JL-15505,10035
CA-2016-130001,4/23/2016,4/28/2016,Standard Class,HK-14890,28205
CA-2017-155698,3/8/2017,3/11/2017,First Class,VB-21745,31907
CA-2017-144904,9/25/2017,10/1/2017,Standard Class,KW-16435,10009
CA-2014-123344,9/24/2014,9/29/2014,Standard Class,JD-16060,94109
CA-2016-155516,10/21/2016,10/21/2016,Same Day,MK-17905,6040
CA-2017-104745,5/29/2017,6/4/2017,Standard Class,GT-14755,78550
US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,85705
US-2016-134656,9/28/2016,10/1/2016,First Class,MM-18280,62301
US-2017-134481,8/27/2017,9/1/2017,Standard Class,AR-10405,2038
CA-2015-130792,4/28/2015,5/5/2015,Standard Class,RA-19915,77095
CA-2016-134775,10/28/2016,10/29/2016,First Class,AS-10285,94109
CA-2015-125395,6/26/2015,6/29/2015,Second Class,LA-16780,48180
US-2015-168935,11/27/2015,12/2/2015,Standard Class,DO-13435,33024
CA-2015-122756,12/3/2015,12/7/2015,Standard Class,DK-13225,19140
CA-2014-115973,11/24/2014,11/26/2014,First Class,NG-18430,45231
CA-2017-101798,12/11/2017,12/15/2017,Standard Class,MV-18190,10009
US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115,98198
US-2014-134971,6/7/2014,6/10/2014,Second Class,BP-11095,61604
CA-2017-102946,6/30/2017,7/5/2017,Standard Class,VP-21730,89115
CA-2017-165603,10/17/2017,10/19/2017,Second Class,SS-20140,2886
CA-2015-122259,10/31/2015,11/4/2015,Standard Class,HP-14815,49201
CA-2016-108987,9/8/2016,9/10/2016,Second Class,AG-10675,77036
CA-2014-113166,12/24/2014,12/26/2014,First Class,LF-17185,33180
CA-2014-155208,4/16/2014,4/20/2014,Standard Class,SP-20650,28403
CA-2017-117933,12/24/2017,12/29/2017,Standard Class,RF-19840,10024
CA-2017-117457,12/8/2017,12/12/2017,Standard Class,KH-16510,94110
CA-2017-142636,11/3/2017,11/7/2017,Standard Class,KC-16675,98105
CA-2017-122105,6/24/2017,6/28/2017,Standard Class,CJ-12010,92646
CA-2016-148796,4/14/2016,4/18/2016,Standard Class,PB-19150,90004
CA-2017-154816,11/6/2017,11/10/2017,Standard Class,VB-21745,40475
CA-2017-110478,3/4/2017,3/9/2017,Standard Class,SP-20860,90045
CA-2014-142048,6/22/2014,6/25/2014,First Class,JE-15745,80027
CA-2017-125388,10/19/2017,10/23/2017,Standard Class,MP-17965,1841
CA-2017-155705,8/21/2017,8/23/2017,Second Class,NF-18385,39212
CA-2017-149160,11/23/2017,11/26/2017,Second Class,JM-15265,48187
CA-2014-101476,9/12/2014,9/13/2014,First Class,SD-20485,10801
CA-2017-152275,10/1/2017,10/8/2017,Standard Class,KH-16630,78207
US-2016-123750,4/15/2016,4/21/2016,Standard Class,RB-19795,28052
CA-2016-127369,6/6/2016,6/7/2016,First Class,DB-13060,1852
US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160,32216
CA-2016-147375,6/12/2016,6/14/2016,Second Class,PO-19180,60623
CA-2017-130043,9/15/2017,9/19/2017,Standard Class,BB-11545,77070
CA-2017-157252,1/20/2017,1/23/2017,Second Class,CV-12805,10024
CA-2016-115756,9/5/2016,9/7/2016,Second Class,PK-19075,48227
CA-2017-154214,3/20/2017,3/25/2017,Second Class,TB-21595,47201
CA-2016-166674,4/1/2016,4/3/2016,Second Class,RB-19360,13021
CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705,44312
CA-2016-100153,12/13/2016,12/17/2016,Standard Class,KH-16630,73071
US-2014-110674,2/12/2014,2/18/2014,Standard Class,SC-20095,94521
US-2016-157945,9/26/2016,10/1/2016,Standard Class,NF-18385,62521
CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985,98115
CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040,85023
US-2015-101399,1/17/2015,1/24/2015,Standard Class,JS-15940,60068
CA-2017-154907,3/31/2017,4/4/2017,Standard Class,DS-13180,79109
US-2016-100419,12/16/2016,12/20/2016,Second Class,CC-12670,60610
CA-2015-154144,12/20/2015,12/24/2015,Standard Class,MH-17785,11757
CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,94110
CA-2016-103891,7/12/2016,7/19/2016,Standard Class,KH-16690,90008
CA-2016-152632,10/27/2016,11/2/2016,Standard Class,JE-15475,12180
CA-2016-100790,6/26/2016,7/2/2016,Standard Class,JG-15805,10024
CA-2014-134677,10/6/2014,10/10/2014,Standard Class,XP-21865,92024
CA-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065,10024
CA-2017-140963,6/10/2017,6/13/2017,First Class,MT-18070,90045
CA-2014-154627,10/29/2014,10/31/2014,First Class,SA-20830,60610
CA-2014-133753,6/9/2014,6/13/2014,Second Class,CW-11905,77340
CA-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960,14609
CA-2016-169166,5/9/2016,5/14/2016,Standard Class,SS-20590,98115
US-2016-120929,3/18/2016,3/21/2016,Second Class,RO-19780,38109
CA-2015-134782,12/27/2015,12/31/2015,Standard Class,MD-17350,72701
CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095,92627
US-2016-105578,5/30/2016,6/4/2016,Standard Class,MY-17380,80134
CA-2017-134978,11/12/2017,11/15/2017,Second Class,EB-13705,10024
CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385,30318
CA-2017-135307,11/26/2017,11/27/2017,First Class,LS-17245,64118
CA-2016-106341,10/20/2016,10/23/2016,First Class,LF-17185,43055
CA-2017-163405,12/21/2017,12/25/2017,Standard Class,BN-11515,90049
CA-2017-127432,1/22/2017,1/27/2017,Standard Class,AD-10180,59405
CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210,77041
CA-2017-145142,1/23/2017,1/25/2017,First Class,MC-17605,48234
US-2016-139486,5/21/2016,5/23/2016,First Class,LH-17155,90032
CA-2015-158792,12/26/2015,1/2/2016,Standard Class,BD-11605,1841
CA-2017-113558,10/21/2017,10/26/2017,Standard Class,PH-18790,33801
US-2015-138303,9/3/2015,9/7/2015,Standard Class,MG-18145,19134
CA-2015-102848,11/7/2015,11/9/2015,Second Class,KB-16240,90036
US-2017-129441,9/7/2017,9/11/2017,Standard Class,JC-15340,90032
CA-2016-168753,5/29/2016,6/1/2016,Second Class,RL-19615,36116
CA-2016-126613,7/10/2016,7/16/2016,Standard Class,AA-10375,85204
US-2017-122637,9/3/2017,9/8/2017,Second Class,EP-13915,60653
CA-2015-147851,12/3/2015,12/8/2015,Standard Class,MP-17470,10009
CA-2015-134894,12/7/2015,12/11/2015,Standard Class,DK-12985,42420
CA-2014-140795,2/1/2014,2/3/2014,First Class,BD-11500,54302
CA-2016-136924,7/14/2016,7/17/2016,First Class,ES-14080,85705
US-2015-120161,12/18/2015,12/23/2015,Standard Class,LM-17065,45503
CA-2014-103849,5/11/2014,5/16/2014,Standard Class,PG-18895,76106
CA-2017-162929,11/19/2017,11/22/2017,First Class,AS-10135,10035
CA-2015-113173,11/15/2015,11/17/2015,Second Class,DK-13225,60653
CA-2016-136406,4/15/2016,4/17/2016,Second Class,BD-11320,94110
CA-2017-112774,9/11/2017,9/12/2017,First Class,RC-19960,32216
CA-2017-101945,11/24/2017,11/28/2017,Standard Class,GT-14710,77070
CA-2017-100650,6/29/2017,7/3/2017,Second Class,DK-13225,92804
CA-2014-155852,3/3/2014,3/7/2014,Second Class,AJ-10945,28403
CA-2016-113243,6/10/2016,6/15/2016,Standard Class,OT-18730,90045
CA-2017-118731,11/20/2017,11/22/2017,Second Class,LP-17080,94110
CA-2014-145576,9/14/2014,9/18/2014,Second Class,CA-12775,33614
CA-2015-130736,12/7/2015,12/9/2015,First Class,JF-15490,98105
CA-2017-137099,12/7/2017,12/10/2017,First Class,FP-14320,90008
CA-2017-156951,10/1/2017,10/8/2017,Standard Class,EB-13840,98105
CA-2017-164826,12/28/2017,1/4/2018,Standard Class,JF-15415,10024
CA-2016-127250,11/3/2016,11/7/2016,Standard Class,SF-20200,98270
CA-2015-149713,9/18/2015,9/22/2015,Second Class,TG-21640,90805
CA-2017-118640,7/20/2017,7/26/2017,Standard Class,CS-11950,60610
CA-2015-132906,9/10/2015,9/14/2015,Standard Class,CC-12145,90004
CA-2017-145233,12/1/2017,12/5/2017,Standard Class,DV-13465,80219
CA-2015-128139,7/3/2015,7/9/2015,Standard Class,BD-11725,40475
US-2016-156986,3/20/2016,3/24/2016,Standard Class,ZC-21910,97301
CA-2014-135405,1/9/2014,1/13/2014,Standard Class,MS-17830,78041
CA-2014-131450,8/8/2014,8/15/2014,Standard Class,LR-16915,92024
CA-2016-120180,7/14/2016,7/16/2016,First Class,TP-21130,19134
US-2016-100720,7/16/2016,7/21/2016,Standard Class,CK-12205,19120
CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240,33614
US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510,19134
CA-2016-161816,4/28/2016,5/1/2016,First Class,NB-18655,75217
CA-2016-121223,9/11/2016,9/13/2016,Second Class,GD-14590,19143
CA-2017-138611,11/14/2017,11/17/2017,Second Class,CK-12595,43123
CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355,10011
US-2014-111171,12/26/2014,12/31/2014,Standard Class,CA-12265,60610
CA-2015-138009,11/29/2015,12/3/2015,Standard Class,SF-20965,48126
CA-2017-163020,9/15/2017,9/19/2017,Standard Class,MO-17800,10009
CA-2017-153787,5/19/2017,5/23/2017,Standard Class,AT-10735,98115
CA-2017-133431,12/17/2017,12/21/2017,Standard Class,LC-17140,94122
US-2016-135720,12/11/2016,12/13/2016,Second Class,FM-14380,80013
CA-2017-144694,9/24/2017,9/26/2017,Second Class,BD-11605,33180
CA-2015-168004,10/4/2015,10/9/2015,Second Class,DJ-13420,31088
US-2016-123470,8/15/2016,8/21/2016,Standard Class,ME-17725,80013
CA-2016-115917,5/20/2016,5/25/2016,Standard Class,RB-19465,94591
CA-2016-147067,12/18/2016,12/22/2016,Standard Class,JD-16150,55407
CA-2017-167913,7/30/2017,8/3/2017,Second Class,JL-15835,92691
CA-2017-106103,6/10/2017,6/15/2017,Standard Class,SC-20305,48307
US-2017-127719,7/21/2017,7/25/2017,Standard Class,TW-21025,7060
CA-2017-126221,12/30/2017,1/5/2018,Standard Class,CC-12430,47201
CA-2016-103947,4/1/2016,4/8/2016,Standard Class,BB-10990,85635
CA-2016-160745,12/11/2016,12/16/2016,Second Class,AR-10825,98661
CA-2016-132661,10/23/2016,10/29/2016,Standard Class,SR-20740,10024
CA-2017-140844,6/19/2017,6/23/2017,Standard Class,AR-10405,10035
CA-2016-137239,8/22/2016,8/28/2016,Standard Class,CR-12730,43229
US-2016-156097,9/19/2016,9/19/2016,Same Day,EH-14125,60505
CA-2015-146563,8/24/2015,8/28/2015,Standard Class,CB-12025,76017
CA-2016-123666,3/26/2016,3/30/2016,Standard Class,SP-20545,10011
CA-2016-143308,11/4/2016,11/4/2016,Same Day,RC-19825,40214
CA-2017-132682,6/8/2017,6/10/2017,Second Class,TH-21235,75081
CA-2014-156314,12/24/2014,12/26/2014,First Class,RP-19390,44105
US-2017-106663,6/9/2017,6/13/2017,Standard Class,MO-17800,60653
CA-2017-111178,6/15/2017,6/22/2017,Standard Class,TD-20995,62301
CA-2017-130351,12/5/2017,12/8/2017,First Class,RB-19570,47201
US-2017-119438,3/18/2017,3/23/2017,Standard Class,CD-11980,75701
CA-2016-164511,11/19/2016,11/24/2016,Standard Class,DJ-13630,10024
US-2017-168116,11/4/2017,11/4/2017,Same Day,GT-14635,27217
CA-2014-157784,7/5/2014,7/8/2014,First Class,MC-17845,39212
CA-2017-161480,12/25/2017,12/29/2017,Standard Class,RA-19285,10035
US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325,22980
CA-2015-131534,3/28/2015,4/2/2015,Standard Class,AB-10165,90036
CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550,19013
CA-2017-114552,9/2/2017,9/8/2017,Standard Class,Dl-13600,44105
CA-2016-163755,11/4/2016,11/8/2016,Second Class,AS-10285,98103
CA-2015-142027,4/9/2015,4/14/2015,Standard Class,JK-15370,90805
CA-2014-138527,9/12/2014,9/17/2014,Standard Class,BN-11470,27511
CA-2014-112158,12/2/2014,12/4/2014,First Class,DP-13165,10035
CA-2014-113887,4/5/2014,4/7/2014,First Class,TH-21550,10035
CA-2017-146136,9/3/2017,9/7/2017,Standard Class,AP-10915,32137
US-2017-100048,5/19/2017,5/24/2017,Standard Class,RS-19765,10550
CA-2014-153150,7/1/2014,7/6/2014,Second Class,Dl-13600,98105
CA-2014-130092,1/11/2014,1/14/2014,First Class,SV-20365,19901
CA-2017-108910,9/24/2017,9/29/2017,Standard Class,KC-16540,43055
CA-2014-104472,6/2/2014,6/7/2014,Standard Class,CK-12325,84057
CA-2016-112942,2/13/2016,2/18/2016,Standard Class,RD-19810,90045
CA-2016-142335,12/15/2016,12/19/2016,Standard Class,MP-17965,48205
CA-2014-117429,10/7/2014,10/13/2014,Standard Class,MR-17545,19140
CA-2016-114713,7/7/2016,7/12/2016,Standard Class,SC-20695,33012
CA-2017-144113,9/16/2017,9/20/2017,Standard Class,JF-15355,78745
US-2016-150861,12/3/2016,12/6/2016,First Class,EG-13900,11572
CA-2017-131954,1/21/2017,1/25/2017,Standard Class,DS-13030,98115
CA-2014-132500,9/8/2014,9/12/2014,Standard Class,GZ-14470,94110
CA-2014-112326,1/4/2014,1/8/2014,Standard Class,PO-19195,60540
US-2016-146710,8/27/2016,9/1/2016,Standard Class,SS-20875,75220
CA-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785,92105
CA-2016-150889,3/20/2016,3/22/2016,Second Class,PB-19105,60201
CA-2017-126074,10/2/2017,10/6/2017,Standard Class,RF-19735,48183
CA-2016-110499,4/7/2016,4/9/2016,First Class,YC-21895,94110
CA-2015-135272,12/7/2015,12/12/2015,Standard Class,MS-17830,90036
CA-2016-140928,9/18/2016,9/22/2016,Standard Class,NB-18655,32216
CA-2014-106803,12/29/2014,1/2/2015,Standard Class,DC-13285,55016
CA-2017-117240,7/23/2017,7/28/2017,Standard Class,CP-12340,10009
CA-2017-133333,9/18/2017,9/22/2017,Standard Class,BF-11020,54302
CA-2015-112319,8/31/2015,9/5/2015,Standard Class,AR-10510,90004
CA-2017-126046,11/3/2017,11/7/2017,Standard Class,JC-16105,30318
CA-2015-114923,2/8/2015,2/13/2015,Standard Class,LH-17020,43229
CA-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,71111
CA-2014-106810,5/14/2014,5/20/2014,Standard Class,AJ-10795,33710
CA-2016-157245,5/19/2016,5/24/2016,Standard Class,LE-16810,22204
CA-2017-104220,1/30/2017,2/5/2017,Standard Class,BV-11245,50315
CA-2014-165974,6/29/2014,7/6/2014,Standard Class,DL-12865,45231
CA-2015-144267,8/21/2015,8/23/2015,First Class,NZ-18565,94110
US-2015-157014,10/3/2015,10/6/2015,Second Class,BM-11785,43229
CA-2015-154921,5/23/2015,5/28/2015,Standard Class,EA-14035,29203
CA-2017-129567,3/17/2017,3/21/2017,Second Class,CL-12565,93534
CA-2015-154620,12/12/2015,12/16/2015,Standard Class,LT-17110,93534
CA-2015-115938,6/26/2015,6/30/2015,Standard Class,SA-20830,23223
CA-2016-105256,5/20/2016,5/20/2016,Same Day,JK-15730,28806
CA-2014-156433,9/20/2014,9/26/2014,Standard Class,ES-14020,94110
CA-2017-151428,9/21/2017,9/26/2017,Standard Class,RH-19495,55901
CA-2015-124653,12/24/2015,12/26/2015,First Class,DB-13120,14609
CA-2015-101910,11/27/2015,12/3/2015,Standard Class,CD-11920,92530
